Kilometros_recorridos,Consumo_combustible
137,9
226,13
198,9
317,23
248,15
52,2
425,41
390,36
412,26
291,26
324,23
340,17
366,34
84,6
83,6
341,27
451,30
94,5
77,5
179,13
403,39
395,38
367,20
173,17
359,27
78,5
417,29
197,12
254,16
398,37
366,36
373,28
370,24
380,24
484,39
313,17
240,17
291,21
163,10
326,27
95,9
440,28
146,8
473,30
63,3
336,29
430,41
120,10
419,21
152,8
225,22
279,16
419,29
198,10
393,27
125,8
247,14
347,31
396,22
283,19
347,32
125,6
443,37
94,7
288,20
487,36
322,18
471,34
439,27
227,14
454,32
446,31
90,8
192,14
250,14
321,30
393,37
236,13
194,13
149,12
251,13
449,23
275,21
65,3
360,30
441,26
78,7
104,5
151,10
223,21
170,12
176,11
217,14
377,32
182,9
191,17
357,24
436,28
222,13
347,34
